ID,NAME,ELEMENT,GROWING_TYPE,SPRITE,STAR,EQUIP_COST,SKILL,LEADER_SKILL,NORMAL_SKILL,MAX_LEVEL,EXP_GROW_TYPE,EAT_EXP_BASE,SELL_PRICE_BASE
1,Fire soldier 1,0,1,Card001,1,1,5,0,1,15,1,100,500
2,Fire soldier 2,0,5,Card002,2,3,5,0,1,25,1,200,1000
3,Fire soldier 3,0,9,Card003,3,5,5,0,1,35,1,300,2000
4,Water soldier 1,1,1,Card001,1,1,5,0,1,15,1,100,500
5,Water soldier 2,1,5,Card002,2,3,5,0,1,25,1,200,1000
6,Water soldier 3,1,9,Card003,3,5,5,0,1,35,1,300,2000
7,Wind soldier 1,2,1,Card001,1,1,6,0,2,15,1,100,500
8,Wind soldier 2,2,5,Card002,2,3,6,0,2,25,1,200,1000
9,Wind soldier 3,2,9,Card003,3,5,6,0,2,35,1,300,2000
10,Earth soldier 1,3,1,Card004,1,1,5,0,1,15,1,100,500
11,Earth soldier 2,3,5,Card005,2,3,5,0,1,25,1,200,1000
12,Earth soldier 3,3,9,Card006,3,5,5,0,1,35,1,300,2000
13,Light enchanter 1,4,1,Card007,1,1,4,0,3,15,1,100,500
14,Light enchanter 2,4,5,Card008,2,3,4,0,3,25,1,200,1000
15,Light enchanter 3,4,9,Card009,3,5,4,0,3,35,1,300,2000
16,Dark enchanter 1,5,1,Card007,1,1,7,0,3,15,1,100,500
17,Dark enchanter 2,5,5,Card008,2,3,7,0,3,25,1,200,1000
18,Dark enchanter 3,5,9,Card009,3,5,7,0,3,35,1,300,2000
